date,open,close,volume,cap,open_change,volume_change,cap_change
"Jul 28, 2018",469.68,466.9,1531890048,47147853886,0.01222,-0.11669,-0.00569
"Jul 27, 2018",464.01,469.67,1734259968,47417755376,-0.01761,0.0695,0.01234
"Jul 26, 2018",472.33,464.04,1621560064,46839932193,-0.01579,-0.16015,-0.0177
"Jul 25, 2018",479.91,472.49,1930780032,47683830874,0.06377,-0.15595,-0.01415
"Jul 24, 2018",451.14,479.37,2287520000,48368209917,-0.01807,0.43239,0.06347
"Jul 23, 2018",459.44,450.85,1596999936,45481301491,-0.00649,0.19305,-0.01895
"Jul 22, 2018",462.44,459.66,1338589952,46360029757,0.02609,-0.11016,-0.0058
"Jul 21, 2018",450.68,462.44,1504310016,46630720739,-0.0397,-0.17407,0.02625
"Jul 20, 2018",469.31,450.7,1821350016,45437819522,-0.02355,-0.11958,-0.0401
"Jul 19, 2018",480.63,469.62,2068739968,47335899963,-0.04035,-0.12769,-0.02247
"Jul 18, 2018",500.84,480.51,2371559936,48424155624,0.04324,0.03648,-0.0407
"Jul 17, 2018",480.08,501,2288100096,50478766285,0.06585,0.23103,0.04254
"Jul 16, 2018",450.42,480.66,1858680064,48419026521,0.03336,0.37664,0.0687
"Jul 15, 2018",435.88,449.85,1350160000,45306414380,0.00315,0.09252,0.03177
"Jul 14, 2018",434.51,436.09,1235820032,43911193561,0.00875,-0.17041,0.00495
"Jul 13, 2018",430.74,434.03,1489670016,43694988769,-0.0353,-0.00386,0.0094
"Jul 12, 2018",446.5,430.07,1495440000,43288294177,0.02757,0.0513,-0.03663
"Jul 11, 2018",434.52,446.52,1422470016,44934271235,-0.08745,-0.20491,0.02805
"Jul 10, 2018",476.16,434.42,1789069952,43708241775,-0.02602,0.16643,-0.08847
"Jul 09, 2018",488.88,476.68,1533799936,47950212027,-0.00648,0.14074,-0.02523
"Jul 08, 2018",492.07,489.12,1344560000,49191161178,0.03799,-0.01016,-0.00497
"Jul 07, 2018",474.06,491.66,1358360064,49436674025,-0.00063,-0.16543,0.03744
